City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tobelo,1.7284,128.0095,26.25,82,81,1.53,ID,1699908388
1,nola,40.922,14.5329,18.29,92,80,1.46,IT,1699908389
2,cidreira,-30.1811,-50.2056,20.81,96,100,0.87,BR,1699908389
3,noumea,-22.2763,166.4572,23.89,99,84,5.73,NC,1699908389
4,katsuura,35.1333,140.3,10.39,52,2,3.78,JP,1699908389
5,ushuaia,-54.8,-68.3,4.81,65,75,14.31,AR,1699908389
6,bredasdorp,-34.5322,20.0403,15.79,78,3,7.62,ZA,1699908389
7,luderitz,-26.6481,15.1594,20.58,49,0,5.16,NA,1699908389
8,fort leonard wood,37.7057,-92.1572,21.96,19,0,4.12,US,1699908390
9,puerto ayora,-0.7393,-90.3518,23.64,97,75,4.02,EC,1699908390
10,meadow lakes,61.6247,-149.6011,-1.87,92,100,1.68,US,1699908390
11,nantucket,41.2835,-70.0995,7.22,65,75,3.6,US,1699908390
12,ribeira grande,38.5167,-28.7,16.22,88,75,3.6,PT,1699908391
13,pandan,14.0453,124.1694,28.04,73,100,6.98,PH,1699908391
14,valparaiso,-33.0393,-71.6273,22.8,55,0,8.75,CL,1699908391
15,afaahiti,-17.75,-149.2833,28.93,85,100,4.71,PF,1699908391
16,port-aux-francais,-49.35,70.2167,6.88,96,100,17.87,TF,1699908391
17,margaret river,-33.95,115.0667,14.84,89,99,5.06,AU,1699908392
18,ovalle,-30.5983,-71.2003,24.45,30,90,3.35,CL,1699908392
19,eskhar,49.7987,36.5883,4.66,77,41,3.03,UA,1699908392
20,badger,64.8,-147.5333,-3.86,92,100,2.57,US,1699908392
21,tiksi,71.6872,128.8694,-13.2,88,100,4.08,RU,1699908393
22,ketchikan,55.3422,-131.6461,6.3,70,0,3.6,US,1699908393
23,roma,43.2128,-75.4557,8.16,69,100,4.12,US,1699908393
24,puerto natales,-51.7236,-72.4875,2.25,93,75,8.75,CL,1699908393
25,forde,61.4522,5.8572,6.0,55,0,2.57,NO,1699908394
26,antofagasta,-23.65,-70.4,18.6,68,18,5.46,CL,1699908394
27,bethel,41.3712,-73.414,8.34,55,100,3.6,US,1699908394
28,adamstown,-25.066,-130.1015,23.02,86,91,8.74,PN,1699908394
29,papatowai,-46.5619,169.4708,14.05,58,31,2.93,NZ,1699908395
30,waitangi,-43.9535,-176.5597,13.02,87,4,9.25,NZ,1699908395
31,palikir - national government center,6.9248,158.1611,23.41,94,100,1.54,FM,1699908395
32,okhotsk,59.3833,143.3,-18.09,81,98,6.36,RU,1699908396
33,novodvinsk,64.4165,40.8122,-3.45,91,100,3.5,RU,1699908396
34,utrik,11.2278,169.8474,28.08,83,53,8.49,MH,1699908396
35,yanam,16.7333,82.2167,25.67,70,70,3.51,IN,1699908396
36,san pedro pochutla,15.7333,-96.4667,33.84,57,55,3.51,MX,1699908396
37,kincardine,56.0667,-3.7167,8.44,94,100,2.83,GB,1699908397
38,tolanaro,-25.0319,46.9987,21.27,88,7,2.33,MG,1699908397
39,djenne,13.9061,-4.5533,29.4,11,0,4.31,ML,1699908397
40,blenheim,-41.516,173.9528,19.18,71,72,2.24,NZ,1699908397
41,west end,26.6833,-78.9667,26.99,83,90,6.18,BS,1699908398
42,stanley,54.868,-1.6985,8.77,86,40,10.29,GB,1699908398
43,grytviken,-54.2811,-36.5092,2.64,97,100,3.03,GS,1699908398
44,yellowknife,62.456,-114.3525,-7.71,86,75,1.03,CA,1699908398
45,talnakh,69.4865,88.3972,-11.55,91,100,6.58,RU,1699908399
46,nizhniy kuranakh,58.8353,125.4869,-17.48,97,92,1.62,RU,1699908399
47,hawaiian paradise park,19.5933,-154.9731,25.57,87,75,3.09,US,1699908399
48,port alfred,-33.5906,26.891,16.21,86,97,1.34,ZA,1699908399
49,albany,42.6001,-73.9662,5.29,63,99,0.45,US,1699908399
